,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
9936,25-29,Woman,Kenya,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Other,0-49 employees,$0-999,,"Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",
9938,35-39,Man,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Broadcasting/Communications,"10,000 or more employees","15,000-19,999",MySQL ,Python," Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
9940,25-29,Man,Portugal,Master’s degree,Data Analyst,1-3 years,A laptop,Government/Public Service,"1000-9,999 employees",,,"Python, SQL",Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ",,
9952,25-29,Man,Italy,Bachelor’s degree,Business Analyst,3-5 years,A laptop,Manufacturing/Fabrication,250-999 employees,"30,000-39,999",,"Python, SQL, Java","PyCharm ,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
9959,25-29,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,A laptop,Accounting/Finance,50-249 employees,"3,000-3,999",PostgreSQL ,"Python, SQL"," Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows", GitHub   Personal blog   Kaggle   Colab 
9960,30-34,Man,Other,Bachelor’s degree,Data Analyst,I have never written code,,Computers/Technology,250-999 employees,"1,000-1,999",,,,," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",
9962,22-24,Man,United States of America,Bachelor’s degree,Business Analyst,1-3 years,A personal computer / desktop,Computers/Technology,50-249 employees,"50,000-59,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) "," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",
9963,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Academics/Education,0-49 employees,$0-999,,Python,Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", Kaggle 
9964,22-24,Woman,Spain,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Accounting/Finance,0-49 employees,,,"Python, SQL"," Spyder,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",,
9967,30-34,Woman,South Korea,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Online Business/Internet-based Sales,0-49 employees,,,Python,"Visual Studio Code (VSCode) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Geoplotlib ",,
9979,30-34,Woman,Other,Bachelor’s degree,Data Analyst,5-10 years,A personal computer / desktop,Computers/Technology,50-249 employees,"15,000-19,999",,"Python, R, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm , Notepad++"," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
9985,25-29,Man,India,Master’s degree,Data Analyst,< 1 years,A personal computer / desktop,Academics/Education,0-49 employees,$0-999,,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",
10007,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Accounting/Finance,50-249 employees,"10,000-14,999",Microsoft SQL Server ,"Python, SQL","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",I do not share my work publicly
10021,25-29,Woman,United States of America,Master’s degree,Data Analyst,1-3 years,A laptop,Manufacturing/Fabrication,0-49 employees,"60,000-69,999",Microsoft Azure SQL Database ," R, SQL","RStudio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
10028,40-44,Man,United States of America,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,,,,,"Python, R, SQL, C++, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Jupyter Notebook","Plotly / Plotly Express ,D3 js ",,
