,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
723,25-29,Woman,India,Master’s degree,Data Analyst,< 1 years,A personal computer / desktop,Computers/Technology,50-249 employees,"10,000-14,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,
727,18-21,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Data Analyst,20+ years,A laptop,,,,, R,Visual Studio , Other,,
730,30-34,Man,Germany,Master’s degree,Data Analyst,1-3 years,A laptop,Broadcasting/Communications,50-249 employees,"30,000-39,999",SQLite ," R, SQL","RStudio ,Visual Studio ","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,3-5 years,A personal computer / desktop,Online Service/Internet-based Services,0-49 employees,$0-999,SQLite ,"Python, Javascript, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio , Notepad++, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, Personal blog   Kaggle 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,1-3 years,A laptop,Computers/Technology,0-49 employees,"3,000-3,999",,"Python, SQL, Javascript, Bash","Visual Studio Code (VSCode) , Notepad++, Sublime Text"," Matplotlib ,Plotly / Plotly Express ,D3 js ,Geoplotlib ", None of these activities are an important part of my role at work, Plotly Dash   Streamlit   GitHub   Colab 
754,30-34,Man,France,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,Marketing/CRM,0-49 employees,"25,000-29,999",Google Cloud BigQuery ,"Python, R, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,Altair ,Bokeh ,Geoplotlib ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models", Streamlit   GitHub   Personal blog   Kaggle   Colab   Shiny 
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 years,A personal computer / desktop,Computers/Technology,50-249 employees,$0-999,,Python,"PyCharm , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions, Personal blog   Kaggle 
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Marketing/CRM,0-49 employees,"30,000-39,999",,"Python, R","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
763,30-34,Woman,Nigeria,Master’s degree,Data Analyst,< 1 years,A laptop,Energy/Mining,"1000-9,999 employees",$0-999,Google Cloud BigQuery ," R, SQL",RStudio ,Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
772,30-34,Woman,Other,Master’s degree,Data Analyst,3-5 years,A laptop,Marketing/CRM,50-249 employees,"7,500-9,999",, None, None, None,Analyze and understand data to influence product or business decisions,
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Manufacturing/Fabrication,0-49 employees,$0-999,MySQL ,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio , Notepad++",Shiny ,"Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning", GitHub   Personal blog 
779,25-29,Woman,India,Bachelor’s degree,Business Analyst,1-3 years,A personal computer / desktop,Computers/Technology,"10,000 or more employees",$0-999,Oracle Database , SQL,Jupyter Notebook," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions, GitHub 
784,25-29,Man,Russia,No formal education past high school,Data Analyst,5-10 years,A laptop,Online Business/Internet-based Sales,250-999 employees,"20,000-24,999",PostgreSQL ,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas", Personal blog   Kaggle 
804,18-21,Man,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Other,0-49 employees,$0-999,SQLite ,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Notepad++, Sublime Text,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions, Colab 
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Medical/Pharmaceutical,"1000-9,999 employees","15,000-19,999",,"Python, SQL, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, GitHub   Kaggle 
826,22-24,Man,China,Bachelor’s degree,Data Analyst,< 1 years,None,Academics/Education,0-49 employees,,,Python,PyCharm , None,,
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Academics/Education,0-49 employees,$0-999,,"Python, C",Visual Studio ," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Online Service/Internet-based Services,0-49 employees,$0-999,MySQL ,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions, GitHub   Kaggle 
873,35-39,Man,Kenya,Master’s degree,Business Analyst,1-3 years,A laptop,Academics/Education,50-249 employees,"2,000-2,999",,"Python, SQL, MATLAB","Visual Studio Code (VSCode) ,Jupyter Notebook", Matplotlib , None of these activities are an important part of my role at work, Kaggle 
881,22-24,Man,India,Master’s degree,Data Analyst,< 1 years,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Academics/Education,0-49 employees,,,Python,"PyCharm ,Jupyter Notebook",Shiny , Build and/or run a machine learning service that operationally improves my product or workflows,
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,1-3 years,A laptop,Computers/Technology,"10,000 or more employees","125,000-149,999",,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Experimentation and iteration to improve existing ML models",
921,22-24,Man,India,I prefer not to answer,Business Analyst,1-3 years,None,Computers/Technology,"10,000 or more employees",$0-999,,"Python, R, SQL, C, C++, Java","RStudio ,Visual Studio , Notepad++"," Matplotlib ,Ggplot / ggplot2 ,Geoplotlib ",Analyze and understand data to influence product or business decisions,
945,18-21,Woman,Viet Nam,Bachelor’s degree,Business Analyst,1-3 years,,,,,,"Python, R, SQL, Java, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Sublime Text,Jupyter Notebook",,,
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Academics/Education,0-49 employees,$0-999,,"Python, SQL, C, Java","PyCharm , Other"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Altair ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning",
951,30-34,Woman,Russia,Master’s degree,Data Analyst,3-5 years,A laptop,Online Service/Internet-based Services,"10,000 or more employees","40,000-49,999",MySQL ,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
959,25-29,Man,Japan,No formal education past high school,Business Analyst,1-3 years,A personal computer / desktop,Government/Public Service,"1000-9,999 employees",$0-999,PostgreSQL ,"Python, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook",Seaborn , None of these activities are an important part of my role at work, Plotly Dash   GitHub   Kaggle 
965,40-44,Man,Indonesia,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,Manufacturing/Fabrication,"1000-9,999 employees","15,000-19,999",,"Python, R, SQL, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,PyCharm , Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",
969,18-21,Woman,India,Bachelor’s degree,Business Analyst,1-3 years,A laptop,Online Service/Internet-based Services,"10,000 or more employees","15,000-19,999",,"Python, SQL, C, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio "," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, GitHub 
972,22-24,Man,India,Bachelor’s degree,Data Analyst,I have never written code,,Accounting/Finance,0-49 employees,$0-999,,,,, None of these activities are an important part of my role at work,
978,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years,A laptop,Insurance/Risk Assessment,"10,000 or more employees","10,000-14,999",,"Python, SQL, Other",Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions,
979,25-29,Woman,India,Master’s degree,Data Analyst,< 1 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Computers/Technology,250-999 employees,"200,000-249,999",Google Cloud SQL ,"Python, SQL, C",PyCharm , Matplotlib ," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows", Streamlit   Kaggle 
980,30-34,Man,Egypt,Master’s degree,Data Analyst,< 1 years,A laptop,Medical/Pharmaceutical,"1000-9,999 employees",$0-999,,Python,Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
985,25-29,Man,India,Master’s degree,Business Analyst,1-3 years,A laptop,Marketing/CRM,"10,000 or more employees","15,000-19,999",, SQL,"RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
994,30-34,Man,China,Master’s degree,Data Analyst,3-5 years,A personal computer / desktop,Energy/Mining,0-49 employees,"80,000-89,999",Microsoft SQL Server ,"Python, C, C++, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm , Notepad++,MATLAB ,Jupyter Notebook","Altair ,Bokeh ,Leaflet / Folium "," Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models", Plotly Dash   GitHub 
996,25-29,Man,India,Master’s degree,Business Analyst,< 1 years,A laptop,,,,,Python,PyCharm ," Matplotlib ,Seaborn ,Plotly / Plotly Express ",,
1008,30-34,Woman,South Korea,Master’s degree,Data Analyst,< 1 years,A personal computer / desktop,Academics/Education,0-49 employees,"1,000-1,999",MongoDB ,"Python, R","RStudio , Sublime Text,Jupyter Notebook"," Matplotlib ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub   Kaggle 
